School_No,School_Name,School_Type,School_Status,"Prep Males Total""""","Prep Females Total""""","Prep Total""""","Year 1 Males Total""""","Year 1 Females Total""""","Year 1 Total""""","Year 2 Males total""""","Year 2 Females Total""""","Year 2 Total""""","Year 3 Males Total""""","Year 3 Females Total""""","Year 3 Total""""","Year 4 Males Total""""","Year 4 Females Total""""","Year 4 Total""""","Year 5 Males Total""""","Year 5 Females Total""""","Year 5 Total""""","Year 6 Males Total""""","Year 6 Females Total""""","Year 6 Total""""","Primary Total"""""
2712,Nilma Primary School,Primary,O,6,4,10,7,1,8,12,10,22,8,4,12,1,6,7,3,7,10,5,2,7,76
3675,Noble Park Primary School,Primary,O,30,25,55,36,24,60,17,20,37,33,22,55,31,27,58,19,21,40,24,29,53,358
4098,Noojee Primary School,Primary,O,1,1,2,0,0,0,3,1,4,1,0,1,0,0,0,1,0,1,0,0,0,8
1178,Noorat Primary School,Primary,O,1,3,4,2,1,3,1,2,3,0,1,1,3,1,4,1,3,4,1,0,1,20
3372,Noorinbee Primary School,Primary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
3618,Norris Bank Primary School,Primary,O,9,10,19,10,8,18,13,4,17,8,7.4,15.4,12.6,12,24.6,8,11,19,10,9,19,132
1402,North Melbourne Primary School,Primary,O,55,61,116,70,62,132,56,49,105,54,43,97,49,48,97,45.6,56,101.6,67,48,115,763.6
1401,Northcote Primary School,Primary,O,26,26,52,31,33,64,23,37,60,30,22,52,19,20,39,30,33,63,30,16,46,376
8901,Northern Bay P-12 College,Pri/Sec,O,70,61,131,79,85,164,83,86,169,111,95,206,104,105,209,81,95,176,96,104,200,1255
3738,Nowa Nowa Primary School,Primary,O,1,0,1,1,3,4,1,1,2,0,1,1,2,2,4,4,2,6,1,4,5,23
1652,Nullawarre and District Primary School,Primary,O,8,5,13,4,6,10,9,5,14,2,1,3,6,3,9,1,3,4,3,3,6,59
3301,Nullawil Primary School,Primary,O,1,0,1,1,2,3,1,0,1,1,2,3,2,2,4,0,2,2,1,0,1,15
2134,Numurkah Primary School,Primary,O,10.4,9,19.4,20,20,40,18,12,30,15,15,30,22,14,36,13,9,22,11,27,38,215.4
4226,Nungurner Primary School,Primary,O,1,1,2,2,2,4,2,3,5,0,3,3,0,0,0,2,2,4,0,0,0,18
5456,Nyah District Primary School,Primary,O,5,5,10,2,6,8,6,0,6,5,5,10,6,4,10,1,5,6,3,6,9,59
3401,Nyora Primary School,Primary,O,2,2,4,1,3,4,11,2,13,3,4,7,0,3,3,0,1,1,1,2,3,35
4721,Oak Park Primary School,Primary,O,28,26.2,54.2,21,37,58,32,28,60,35,33,68,30,20,50,35,28,63,18,33.8,51.8,405
1601,Oakleigh Primary School,Primary,O,36,41,77,38,43,81,35,28,63,31,37,68,34,33,67,17,20,37,25,19,44,437
4823,Oakleigh South Primary School,Primary,O,75,74,149,77,77,154,104,85,189,67,67,134,64,64,128,52,74,126,71,48,119,999
5363,Oatlands Primary School,Primary,O,100,98,198,100,89,189,86.6,78,164.6,67,68,135,71,73,144,72.6,56,128.6,60,59,119,1078.2
4735,Oberon Primary School,Primary,O,15,9,24,11,11,22,13,8,21,15,10,25,12,15,27,11,10,21,7,10,17,157
4983,Oberon South Primary School,Primary,O,3,5,8,2,2,4,5,0,5,3,3,6,4,2,6,3,3,6,9,1,10,45
3100,Ocean Grove Primary School,Primary,O,41,39,80,44,32,76,50,48,98,51,55,106,52,52,104,48,43,91,34,37,71,626
2742,Officer Primary School,Primary,O,24,26,50,23,7,30,30,25,55,16,11,27,16,17,33,10,14,24,12,7,19,238
4715,Old Orchard Primary School,Primary,O,29,31,60,48,32,80,45,33,78,33,38,71,33,40,73,42,25,67,43,35,78,507
3494,Olinda Primary School,Primary,O,1,0,1,0,2,2,2,0,2,1,0,1,0,2,2,2,1,3,0,0,0,11
831,Omeo Primary School,Primary,O,4,1,5,2,2,4,4,2,6,1,2,3,3,5,8,4,4,8,2,3,5,39
4767,Orbost North Primary School,Primary,O,4,3,7,1,0,1,1,3,4,2,3,5,7,0,7,0,6,6,0,1,1,31
2744,Orbost Primary School,Primary,O,3,10,13,8,12,20,8,10,18,14,9,23,14,12,26,8,7,15,12,5,17,132
5285,Orchard Grove Primary School,Primary,O,67,39,106,47,42,89,47,42,89,57,56,113,41,38,79,51,56,107,41,39,80,663
3074,Ormond Primary School,Primary,O,28,28,56,32,27,59,27,20,47,37,27,64,36,36,72,30,21,51,35,26,61,410
3805,Orrvale Primary School,Primary,O,19,26,45,29.4,31,60.4,27,31,58,30,35,65,29,24,53,30,28,58,26,29,55,394.4
2655,Osborne Primary School,Primary,O,62,61,123,45,54,99,31,43,74,50,42,92,44,34,78,43,34,77,54,41,95,638
1463,Osbornes Flat Primary School,Primary,O,5,6,11,4,2,6,7,3,10,8,5,13,5,2,7,8,4,12,6,5,11,70
8220,Ouyen P-12 College,Pri/Sec,O,7,15,22,8,9,17,9,8,17,8,5,13,8,11,19,9,10,19,13,14,27,134
4780,Overport Primary School,Primary,O,70,54,124,43,54,97,44,44,88,57,52,109,50,32,82,44,52,96,51,49,100,696
1399,Oxley Primary School,Primary,O,8,13,21,5,3,8,7,6,13,6,5,11,9,5,14,4,5,9,7,8,15,91
6243,Pakenham Consolidated School,Primary,O,42,39,81,66,47,113,54,32,86,49,40,89,49,32,81,42,53,95,36,49,85,630
5370,Pakenham Hills Primary School,Primary,O,38,24,62,20,27,47,19,26,45,32,32,64,26,28,54,31,32,63,19,20,39,374
5504,Pakenham Lakeside Primary School,Primary,O,55,63,118,68,73,141,54,54,108,52,62,114,47,56,103,50,41,91,58,58,116,791
5507,Pakenham Springs Primary School,Primary,O,67,57,124,70,69,139,69,63,132,73,60,133,68,63,131,51,59,110,56,74,130,899
1079,Panmure Primary School,Primary,O,1,1,2,0,3,3,1,3,4,2,0,2,2,3,5,1,3,4,1,3,4,24
1134,Panton Hill Primary School,Primary,O,6,6,12,12,7,19,6,9,15,7,13,20,7,12,19,7,7,14,6,11,17,116
4854,Park Orchards Primary School,Primary,O,20,21,41,28,26,54,20,20,40,26,26,52,29,27,56,25,18,43,18,15,33,319
5281,Park Ridge Primary School,Primary,O,44,27,71,50,56,106,37,34,71,54,55,109,40,34,74,50,53,103,41,31,72,606
4171,Parkdale Primary School,Primary,O,49,58,107,56,48,104,46,45,91,57,42,99,46,41,87,49,42,91,36,48,84,663
5416,Parkhill Primary School,Primary,O,17,18,35,28,18,46,35,26,61,24,17,41,33,15,48,27,19,46,34,20,54,331
4881,Parkmore Primary School,Primary,O,11,13,24,7,9,16,9,9,18,10,7,17,11.4,6,17.4,9,8,17,9,13,22,131.4
4843,Parktone Primary School,Primary,O,63,27,90,42,42,84,40,38,78,41,42,83,37,51,88,34,26,60,31,31,62,545
5480,Parkwood Green Primary School,Primary,O,92,76,168,72,66,138,72,71,143,75,81,156,99,78,177,90,69,159,94,81,175,1116
4731,Pascoe Vale North Primary School,Primary,O,23,33,56,33,29,62,31,30,61,25,27,52,37,36,73,32.4,34.4,66.8,27,23,50,420.8
3081,Pascoe Vale Primary School,Primary,O,65,47,112,47,48,95,48,39,87,29,28,57,29,32,61,29,31,60,34,23,57,529
4704,Pascoe Vale South Primary School,Primary,O,12,17,29,13,24,37,27,15,42,19,15,34,30,19,49,27,21,48,23,26,49,288
5190,Patterson Lakes Primary School,Primary,O,50,47,97,41,49,90,46,48,94,44.2,56,100.2,64,51,115,48,55,103,45,45.4,90.4,689.6
2343,Paynesville Primary School,Primary,O,9,11,20,15,14,29,6,9,15,12,12,24,7,11,18,10,11,21,16,10,26,153
2961,Pearcedale Primary School,Primary,O,66.2,67,133.2,86,58,144,59,52,111,62,42,104,63,46,109,49,56,105,46,38,84,790.2
4937,Pembroke Primary School,Primary,O,6,4,10,7,6,13,7,7,14,5,2,7,7,8,15,13,0,13,7,6,13,85
3806,Penders Grove Primary School,Primary,O,12.2,10,22.2,17,18,35,11,12,23,17.6,9,26.6,23,16,39,15,10,25,15,16,31,201.8
486,Penshurst Primary School,Primary,O,1,0,1,1,0,1,0,0,0,0,0,0,2,0,2,0,1,1,0,3,3,8
5369,Pentland Primary School,Primary,O,11,11,22,17,8,25,21,6,27,13,18,31,9,13,22,7,16,23,14,17,31,181
5367,Peranbin Primary College,Primary,O,3,7,10,6,4,10,3,13,16,9,7,16,6,5,11,4,7,11,6,2,8,82
3261,Perseverance Primary School,Primary,O,0,1,1,1,1,2,0,0,0,1,0,1,2,2,4,1,1,2,1,5,6,16
8900,Phoenix P-12 Community College,Pri/Sec,O,26,28,54,22,20,42,21,21,42,14,18,32,16,16,32,18,18,36,26,22,48,286
4874,Pinewood Primary School,Primary,O,55,59,114,72,58,130,59,46,105,37,41,78,35,38,73,40,43,83,25,30,55,638
695,Pleasant Street Primary School (Ballarat),Primary,O,24,20,44,24,26,50,21,27,48,28,27,55,20,27,47,24,22,46,26,26,52,342
1915,Plenty Parklands Primary School,Primary,O,70,59,129,56,49,105,62,52,114,62,43,105,61,45,106,59,52,111,57,41,98,768
4159,Point Cook Prep - Year 9 College,Pri/Sec,O,73.2,78,151.2,97,84,181,89,88,177,85,84.2,169.2,84,69,153,80,89,169,92,70,162,1162.4
3322,Point Lonsdale Primary School,Primary,O,9,15,24,16,8,24,9,9,18,13,16,29,10,9,19,13,16,29,15,16,31,174
2859,Pomonal Primary School,Primary,O,0,3,3,2,1,3,1,2,3,3,4,7,1,4,5,1,3,4,3,3,6,31
6245,Poowong Consolidated School,Primary,O,11,8,19,7,13,20,15,8,23,14,11,25,10,9,19,5,8,13,12,11,23,142
1144,Porepunkah Primary School,Primary,O,6,4,10,11,6,17,4,12.8,16.8,6,4.5,10.5,13,12,25,12,6,18,3,8,11,108.3
6247,Port Fairy Consolidated School,Primary,O,17,13,30,11,10,21,17.5,23,40.5,12,13,25,19,20,39,17.5,18,35.5,20,13,33,224
2932,Port Melbourne Primary School,Primary,O,60,76,136,64,50,114,61,62,123,63,65,128,62,47,109,52,52,104,55,42,97,811
2455,Portarlington Primary School,Primary,O,26,12,38,10,10,20,11,20,31,15,14,29,15.4,14,29.4,9,19,28,12,17,29,204.4
1194,Portland North Primary School,Primary,O,13,15,28,20,13,33,13,17,30,18,20,38,24,20,44,19,25,44,14,21,35,252
489,Portland Primary School,Primary,O,15,15,30,16,9,25,14,15,29,8,8,16,15,7,22,4,6,10,7,9,16,148
4750,Portland South Primary School,Primary,O,8,1,9,2,2,4,6,1,7,6,6,12,3,2,5,5,7,12,3,4,7,56
5423,Powlett River Primary School,Primary,O,8,7,15,2,7,9,3,2,5,0,4,4,9,1,10,2,3,5,0,0,0,48
4764,Preston North East Primary School,Primary,O,23,20,43,27,20,47,25,20,45,31,34,65,26,22,48,27,33,60,25,27,52,360
1494,Preston Primary School,Primary,O,58,54,112,65,55,120,53,58,111,55,47,102,55,61,116,48,48,96,54,36,90,747
824,Preston South Primary School,Primary,O,29.6,30,59.6,16,6,22,16,13,29,6,8,14,9,10,19,6,7,13,14,9,23,179.6
3885,Preston West Primary School,Primary,O,60,49,109,60,48,108,56,44,100,47,41,88,59,42,101,48,48,96,52.6,34,86.6,688.6
2955,Princes Hill Primary School,Primary,O,36,26,62,32,38,70,35,26,61,40,35,75,39,35,74,28,34,62,26,35,61,465
1855,Puckapunyal Primary School,Primary,O,18,19,37,15,13,28,14,14,28,19,16,35,15,15,30,14,11,25,12,11,23,206
2005,Pyalong Primary School,Primary,O,5,11,16,3,3,6,7,2,9,3,4,7,2,1,3,5,2,7,2,0,2,50
1712,Pyramid Hill College,Pri/Sec,O,5,1,6,5,5,10,3,4,7,3,6,9,2,6,8,3,5,8,3,3,6,54
2443,Quambatook Group School,Primary,U,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,2,1,3,0,0,0,6
1165,Quarry Hill Primary School,Primary,O,25,26,51,27,25,52,25,24,49,34,23,57,28,33,61,29,39,68,13,15,28,366
1190,Queenscliff Primary School,Primary,O,3,4,7,1,4,5,1,3,4,4,6,10,2,1,3,2,2,4,1,1,2,35
8256,Rainbow P-12 College (interim name),Pri/Sec,O,3,5,8,6,8,14,6,2,8,6,2,8,6,4,10,3,5,8,3,4,7,63
5346,Ranfurly Primary School,Primary,O,28,17,45,17,30,47,24,28,52,35,36.4,71.4,23,31,54,23,28,51,32,28,60,380.4
5232,Rangebank Primary School,Primary,O,38,33,71,29,29,58,38,24,62,21,32,53,30,30,60,26,27,53,31,28,59,416
5431,Rangeview Primary School,Primary,O,57,37,94,44,36,80,37,51,88,40,40,80,27,39,66,43,36,79,48,46,94,581
5389,Rawson Primary School,Primary,O,4,0,4,3,3,6,5,1,6,5,4,9,4,3,7,2,4,6,5,2,7,45
1844,Raywood Primary School,Primary,O,1,0,1,2,2.2,4.2,1,3,4,2,1,3,4,1,5,3,2,5,2,1,3,25.2
4123,Red Cliffs East Primary School,Primary,O,14,11,25,6,11,17,12,9,21,8,14,22,12,6,18,11,4,15,5,8,13,131
4057,Red Cliffs Primary School,Primary,O,11,12,23,16,8,24,13,15,28,19,17,36,15,5,20,14,21,35,8,15,23,189
6249,Red Hill Consolidated School,Primary,O,32,35,67,50,39,89,57,50,107,51,44,95,41,47,88,46,27,73,35,30,65,584
2571,Redesdale Mia Mia Primary School,Primary,O,0,1,1,0,1,1,1,0,1,0,0,0,2,2,4,1,0,1,0,1,1,9
5131,Regency Park Primary School,Primary,O,42,48,90,49,41,90,38,34,72,39,35.2,74.2,32,38,70,31,49,80,33,32,65,541.2
2959,Research Primary School,Primary,O,14,9,23,13,11,24,14,8,22,13,10,23,18,22,40,10,10,20,14,16,30,182
4686,Reservoir East Primary School,Primary,O,11,8,19,18,7,25,14,13,27,18,5,23,16,8,24,18,10,28,10,6,16,162
3960,Reservoir Primary School,Primary,O,41,31,72,29,33,62,24,38,62,20,26,46,24.6,14,38.6,18,16,34,18,10,28,342.6
5523,Reservoir Views Primary School,Primary,O,23,18,41,19,17,36,17,13,30,11,17,28,10,12,22,16,13,29,9,9,18,204
4711,Reservoir West Primary School,Primary,O,38,43,81,47,48,95,54,32,86,36,30,66,57,45,102,46,44,90,32,38,70,590
5269,Richmond Primary School,Primary,O,24,29,53,34,25,59,32,20,52,18,29,47,20,27,47,20,15,35,29,23,52,345
5044,Richmond West Primary School,Primary,O,25.4,26.3,51.7,21,15,36,20,17,37,26,17,43,16,21,37,15,9,24,10,22,32,260.7
528,Riddells Creek Primary School,Primary,O,20,27,47,27,22,49,26,25,51,22,28,50,16,22,38,25,28,53,28,19,47,335
4911,Ringwood Heights Primary School,Primary,O,28,13,41,14,15,29,18,23,41,16,21,37,23,10,33,32,16,48,17,19,36,265
4120,Ringwood North Primary School,Primary,O,30,46,76,31,32,63,41,40,81,40,38,78,49,27,76,35.6,38,73.6,41,42,83,530.6
2129,Ripplebrook Primary School,Primary,O,7,6,13,4,3,7,5,3,8,6,2,8,8,0,8,5,2,7,1,0,1,52
4087,Ripponlea Primary School,Primary,O,20,28,48,21,17,38,13,11,24,15,22,37,19,24,43,22,22,44,21,26,47,281
5130,River Gum Primary School,Primary,O,41,30,71,30,40,70,38,33,71,23,41,64,37,41,78,38,48,86,47,42,89,529
5419,Roberts McCubbin Primary School,Primary,O,26,14,40,28,17,45,34.4,27,61.4,37.6,17,54.6,43,25,68,34,36,70,40.4,31,71.4,410.4
8276,Robinvale College (interim name),Pri/Sec,O,12,7,19,7,14,21,13,21,34,11,15,26,18,12,30,13,19,32,13,19,32,194
795,Rochester Primary School,Primary,O,13,13,26,8,8,16,15,9,24,11,11,22,14,9,23,8,8,16,8,19,27,154
919,Rockbank Primary School,Primary,O,8,4,12,6,4,10,9,4,13,6,4,10,6,9,15,6,6,12,6,5,11,83
531,Rokewood Primary School,Primary,O,3,3,6,7,3,10,4,2,6,7,2,9,2,5,7,5,4,9,4,3,7,54
5241,Rolling Hills Primary School,Primary,O,31.2,28,59.2,19,22,41,27,26,53,26.2,23,49.2,20,34,54,34,15,49,36,20.4,56.4,361.8
4867,Rollins Primary School,Primary,O,18,26,44,20,25,45,15,30,45,25,17,42,18,16,34,19,22,41,24,18,42,293
366,Romsey Primary School,Primary,O,19,14,33,22,17,39,18,21,39,19,25,44,26,21,47,25,18,43,21,18,39,284
4753,Rosanna Golf Links Primary School,Primary,O,38,48,86,39,50,89,29,38,67,34,48,82,34,26,60,30,37,67,33,33,66,517
4568,Rosanna Primary School,Primary,O,21,19,40,18,23,41,24,23,47,21,17,38,18,28,46,18,31,49,27,16,43,304
2627,Rosebud Primary School,Primary,O,22,46,68,37,44,81,34,40,74,35,34,69,37,46,83,31,38,69,33,26,59,503
770,Rosedale Primary School,Primary,O,6,4,10,12,10,22,6,12,18,9,3,12,6.4,9,15.4,9,8,17,9,4,13,107.4
5087,Rosewood Downs Primary School,Primary,O,28,22,50,17,19,36,20,21,41,29,23,52,19,20,39,29,21,50,28,20,48,316
4663,Roslyn Primary School,Primary,O,15,15,30,15,11,26,23,23,46,17,8,25,17,17,34,15,7,22,14,7,21,204
5313,Rowellyn Park Primary School,Primary,O,57,49,106,60,42,102,52,49,101,58,61,119,53,60,113,77,53,130,62,60,122,793
5000,Rowville Primary School,Primary,O,40,26,66,34,33,67,33,32,65,33,22,55,29,54,83,35,36,71,29,46,75,482
5443,Roxburgh Homestead Primary School,Primary,O,65,40,105,51,52,103,48,48,96,48.6,47,95.6,41,41,82,59.2,52,111.2,39,42,81,673.8
5485,Roxburgh Park Primary School,Primary,O,29,30,59,24,43,67,30,39,69,35,28,63,41,37,78,27,35,62,44,43,87,485
5493,Roxburgh Rise Primary School,Primary,O,52,48,100,64,42,106,53,50,103,59,48,107,63,63,126,51,49,100,68,55,123,765
1595,Rupanyup Primary School,Primary,O,4,1,5,4,2,6,4,5,9,6,2,8,4,2,6,6,0,6,5,4,9,49
6238,Rushworth P-12 College,Pri/Sec,O,2,4,6,2,1,3,1,2,3,4,2,6,4,2,6,3,1,4,5,4,9,37
4916,Ruskin Park Primary School,Primary,O,28.2,21,49.2,25,22,47,20.4,33,53.4,23,23,46,21,27,48,29,29,58,20,21,41,342.6
522,Rutherglen Primary School,Primary,O,13,11,24,14,10,24,20,14,34,16,11,27,16,18,34,14,24,38,13,27,40,221
1667,Rye Primary School,Primary,O,28,17,45,30,20,50,34,25,59,21,24,45,30,27,57,26,27,53,29,31,60,369
545,Sale Primary School,Primary,O,40,28,68,25,28,53,26,24,50,19,20,39,29,21,50,30,24,54,32,30,62,376
1369,San Remo Primary School,Primary,O,13,14,27,9,7,16,8,9,17,13,11,24,9,7,16,9,12,21,7,15,22,143
4429,Sandringham East Primary School,Primary,O,53,41,94,43,42,85,39,39,78,30,38,68,46,21,67,42,24,66,32,38,70,528
267,Sandringham Primary School,Primary,O,34,33,67,26,34,60,38,47,85,35,37,72,36,37,73,33,48,81,23,38,61,499
3222,Sassafras Primary School,Primary,O,4,6,10,4,4,8,5,5,10,7,4,11,3,2,5,9,1,10,4,5,9,63
1028,Scoresby Primary School,Primary,O,24,11,35,17,12,29,19,13,32,11,22,33,16,6,22,16,23,39,16,11,27,217
5337,Seabrook Primary School,Primary,O,76,82,158,69,72,141,71,70,141,77,62,139,71,64,135,59,60,119,61,72,133,966
4974,Seaford North Primary School,Primary,O,39,35,74,31,31,62,30,32,62,29,21,50,31,23,54,22,20,42,20,23,43,387
5191,Seaford Park Primary School,Primary,O,16,12,28,9,18,27,16,10,26,9,17,26,12,7,19,6,8,14,8,9,17,157
3835,Seaford Primary School,Primary,O,11,6,17,14,7,21,15,10,25,12.2,9,21.2,12,5,17,23,7,30,11,12,23,154.2
4440,Seaholme Primary School,Primary,O,16,27,43,29,18,47,36,27,63,20,19,39,26,19,45,17,16,33,17,18,35,305
4324,Seaspray Primary School,Primary,O,1,1,2,2,1,3,2,0,2,0,3,3,2,1,3,0,0,0,0,1,1,14
1167,Sebastopol Primary School,Primary,O,4,2,6,6,6,12,9,4,13,7,7,14,10,6,16,5,10,15,8,3,11,87
4685,Selby Primary School,Primary,O,15,21,36,19,19,38,11,27,38,14,15,29,24,13,37,18,14,32,25,10,35,245
5168,Serpell Primary School,Primary,O,70,80,150,86,82,168,78,89,167,73,90,163,81,74,155,92,64,156,76,66,142,1101
2820,Seville Primary School,Primary,O,11,0,11,11,4,15,9,4,13,5,6,11,11,9,20,9,9,18,8,9,17,105
8884,Seymour College,Pri/Sec,O,17,22,39,10.4,22,32.4,12,18,30,18,23,41,16.4,15,31.4,25,24,49,12,27,39,287.8
379,Shelford Primary School,Primary,O,3,1,4,1,1,2,4,1,5,0,2,2,1,0,1,0,1,1,5,1,6,21
1713,Shepparton East Primary School,Primary,O,23,21,44,19,19.4,38.4,20,21,41,15,22,37,19,23,42,15,12,27,12,15,27,256.4
5013,Sherbourne Primary School,Primary,O,14,11,25,8,14,22,12,19,31,17,12,29,12,13,25,11,15,26,13,13,26,184
6252,Sherbrooke Community School,Pri/Sec,O,1,1,2,2,5,7,1,4,5,1,4,5,4,0,4,4,5,9,6,6,12,44
1801,Silvan Primary School,Primary,O,2,3,5,4,3,7,4,1,5,1,3,4,2,1,3,4,1,5,6,3,9,38
5120,Silverton Primary School,Primary,O,50,38,88,36,42,78,42,51,93,39,37,76,32,31,63,23,27,50,36,36,72,520
4895,Simpson Primary School,Primary,O,6.4,11,17.4,6,9,15,6,5,11,3,5,8,11,8,19,3,8,11,6,5,11,92.4
582,Skipton Primary School,Primary,O,8,8,16,11,7,18,6,5,11,7,8,15,7,10,17,6,9,15,5,6,11,103
1222,Skye Primary School,Primary,O,26,26,52,27,33,60,49,33,82,37.8,46,83.8,39,41,80,39,33,72,35,38,73,502.8
4641,Solway Primary School,Primary,O,48,25,73,42,40,82,43,36,79,44.4,36,80.4,41,37,78,40,27,67,28,21,49,508.4
4458,Somers Primary School,Primary,O,29,13,42,26,20,46,35,29.5,64.5,21,25.8,46.8,27,23,50,12,12.4,24.4,16,20,36,309.7
2656,Somerville Primary School,Primary,O,16,17,33,23,25,48,13,13,26,18,18,36,18,26,44,15,14,29,16,22,38,254
5372,Somerville Rise Primary School,Primary,O,22,12,34,28,20,48,17,15,32,20,17,37,32,15,47,26,24,50,33,25,58,306
1090,Sorrento Primary School,Primary,O,21,22,43,25,15,40,34,26,60,22,24,46,29,29,58,27,16,43,15,15,30,320
583,South Yarra Primary School,Primary,O,28,35,63,37,34,71,34,25,59,32,32,64,25,18,43,20,18,38,9,19,28,366
5235,Southern Cross Primary School,Primary,O,23,6,29,8,9,17,14,14,28,18,6,24,19,20,39,10,10,20,8,7,15,172
4910,Southmoor Primary School,Primary,O,48,43,91,34,40,74,39,42,81,34,31,65,19,16,35,22,25,47,25,14,39,432
1316,Specimen Hill Primary School,Primary,O,20,20,40,23,27,50,20,19,39,27,24,51,19,24,43,21,20,41,14,20,34,298
3146,Spensley Street Primary School,Primary,O,36,12,48,29,22,51,26,21,47,34,30,64,20,33,53,26,28,54,18,29,47,364
3659,Spotswood Primary School,Primary,O,18,14,32,29,20,49,16,22,38,19,24,43,13,21,34,15,12,27,7,5,12,235
3505,Spring Gully Primary School,Primary,O,32,24,56,18,31,49,37,18,55,30,30,60,32,31,63,24,21,45,20,27,47,375
5538,Spring Parks Primary School,Primary,O,18,21,39,23,24,47,14,15,29,32,12,44,24,25,49,21,20,41,24,28,52,301
1583,Springhurst Primary School,Primary,O,0,3,3,2,3,5,1,3,4,0,2,2,4,2,6,1,1,2,6,1,7,29
8911,Springside P-9 College,Pri/Sec,O,53,54,107,52,53,105,59,51,110,51,53,104,53,51,104,51,65,116,55,44,99,745
5537,Springvale Rise Primary School (interim name),Primary,O,49,44,93,39,54,93,47,37,84,36,30,66,48,47,95,23,33,56,34,34,68,555
4741,St Albans East Primary School,Primary,O,37,32,69,34,28,62,29,30,59,28,33,61,23,16,39,39,37,76,33,23,56,422
4948,St Albans Heights Primary School,Primary,O,26,15,41,18,27,45,24,21,45,14,19,33,17,18,35,19,19,38,18,20,38,275
5118,St Albans Meadows Primary School,Primary,O,35,36,71,26,26,52,42,27,69,32,44,76,34,27,61,28,30,58,24,34,58,445
4811,St Albans North Primary School,Primary,O,20,20,40,19,16,35,10,14,24,17,18,35,16,13,29,18,21,39,20,9,29,231
2969,St Albans Primary School,Primary,O,28,21,49,18,29,47,24,15,39,18,25,43,9,28,37,24,21,45,21,15,36,296
128,St Andrews Primary School,Primary,O,8,5,13,2,3,5,7,8,15,3,5,8,5,0,5,5,2,7,3,1,4,57
1646,St Arnaud Primary School,Primary,O,15,9,24,3,7,10,11,12,23,8,7,15,16,10,26,9,7,16,22.4,9,31.4,145.4
4666,St Georges Road Primary School Shepparton,Primary,O,28,31,59,24,29,53,32,28,60,38,32,70,35,37,72,31,33,64,32,32,64,442
2460,St Kilda Park Primary School,Primary,O,21,22,43,25,32,57,32,26,58,33,27,60,27,24,51,19,15,34,26,25,51,354
1479,St Kilda Primary School,Primary,O,42,34,76,56,50,106,56,57,113,45,47,92,34,44,78,31,32,63,44,27,71,599
866,St Leonards Primary School,Primary,O,2,8,10,4,13,17,12,5,17,6,7,13,6,9,15,13,6,19,5,6,11,102
3937,Stanhope Primary School,Primary,O,4,4,8,5,3,8,2,1,3,4,4,8,4,5,9,2,0,2,6,2,8,46
502,Stawell Primary School,Primary,O,19,19,38,16,16,32,23,14,37,21,18,39,28,15,43,23,24,47,25,18,43,279
4934,Stawell West Primary School,Primary,O,7,0,7,6,5,11,4,3,7,12,3,15,6,2,8,6,12,18,10,10,20,86
5047,Stevensville Primary School,Primary,O,16,7,23,11,9,20,21,16,37,14,8,22,12,17,29,19,7,26,19,13,32,189
596,Stratford Primary School,Primary,O,6,8,14,8,5,13,2,9,11,11,5,16,6,5,11,8,9,17,13,8,21,103
5463,Strathaird Primary School,Primary,O,50,49,99,70,46,116,43,49,92,54,48,102,57,61,118,62,67,129,74.4,49,123.4,779.4
3947,Strathewen Primary School,Primary,O,1,2,3,0,4,4,2,1,3,5,1,6,4,1,5,3,2,5,2,3,5,31
1211,Strathfieldsaye Primary School,Primary,O,40,36,76,36,24,60,44,28,72,32,43,75,45,38,83,32,34,66,39,39,78,510
2790,Strathmerton Primary School,Primary,O,12,7,19,7,7,14,8,8,16,5,10,15,10,6,16,6,4,10,3,10,13,103
4821,Strathmore North Primary School,Primary,O,35,36,71,22,27,49,39,31,70,32,21,53,31,24,55,36,40,76,33,18,51,425
4612,Strathmore Primary School,Primary,O,50,24,74,30,34,64,31,33,64,26,32,58,48,39,87,33,35,68,48.6,36,84.6,499.6
5438,Streeton Primary School,Primary,O,16,9,25,19,16,35,8,13,21,12,10,22,8,11,19,14,12,26,17,11,28,176
5197,Sunbury Heights Primary School,Primary,O,23,26,49,31,30,61,29,11,40,20,22,42,28,26,54,32,19,51,18,21,39,336
1002,Sunbury Primary School,Primary,O,21,27,48,30,24,54,21,28,49,37,24,61,24,16,40,22,27,49,26,37,63,364
5006,Sunbury West Primary School,Primary,O,20,22,42,13,18,31,22,22,44,9,17,26,23,14,37,20,10,30,21,25,46,256
4416,Sunnycliffs Primary School,Primary,O,2,0,2,0,0,0,3,2,5,3,2,5,3,0,3,2,0,2,1,0,1,18
5526,Sunshine Harvester Primary School,Primary,O,40,27,67,33,30,63,32,30,62,26,26,52,34,24,58,28.2,29,57.2,25,29,54,413.2
4744,Sunshine Heights Primary School,Primary,O,31,25,56,53,33,86,24,40,64,33,26,59,27,24,51,25,22,47,22,29,51,414
4745,Sunshine North Primary School,Primary,O,26,26,52,22,16,38,24,22,46,21,25,46,25,16,41,21,21,42,12,17,29,294
3113,Sunshine Primary School,Primary,O,23,8,31,16,11,27,14,11,25,11,16,27,13,15,28,5,12,17,12,16,28,183
