School_No,School_Name,School_Type,School_Status,"Prep Males Total""""","Prep Females Total""""","Prep Total""""","Year 1 Males Total""""","Year 1 Females Total""""","Year 1 Total""""","Year 2 Males total""""","Year 2 Females Total""""","Year 2 Total""""","Year 3 Males Total""""","Year 3 Females Total""""","Year 3 Total""""","Year 4 Males Total""""","Year 4 Females Total""""","Year 4 Total""""","Year 5 Males Total""""","Year 5 Females Total""""","Year 5 Total""""","Year 6 Males Total""""","Year 6 Females Total""""","Year 6 Total""""","Primary Total"""""
2035,Hamilton North Primary School,Primary,O,23,12,35,23,11,34,19,19,38,23,12,35,29,25,54,27,18,45,27,25,52,293
4804,Hamlyn Banks Primary School,Primary,O,30,31,61,33,23,56,24,33,57,27,30,57,32,35,67,30,23.6,53.6,23,37,60,411.6
4062,Hampton Park Primary School,Primary,O,33,20,53,20,23,43,26,26,52,37,23,60,15,35,50,28,30,58,23,19,42,358
3754,Hampton Primary School,Primary,O,55,48,103,68,44,112,59,56,115,58,50,108,61,52,113,37,36,73,45,40,85,709
5404,Harcourt Valley Primary School,Primary,O,7,12,19,9,10,19,6,5,11,6,6.2,12.2,9,5,14,5,5,10,7,5,12,97.2
1697,Harkaway Primary School,Primary,O,11,12,23,8,10,18,16,12,28,7,12,19,18,11,29,13,12,25,8,8,16,158
843,Harrietville Primary School,Primary,O,3,0,3,3,1,4,1,0,1,0,1,1,2,3,5,0,2,2,2,3,5,21
4730,Harrisfield Primary School,Primary,O,26,20,46,17,23,40,18,10,28,18,14,32,22,17,39,12,13,25,13,19,32,242
1458,Harston Primary School,Primary,O,1,1,2,4,0,4,1,3,4,0,4,4,3,2,5,1,5,6,0,1,1,26
4055,Hartwell Primary School,Primary,O,46,56,102,57,39,96,52,59,111,43,57,100,62,48,110,40,56,96,48,40,88,703
5500,Harvest Home Primary School,Primary,O,64,70,134,18,27,45,17,17,34,15,14,29,14,16,30,11,11,22,6,9,15,309
1098,Hastings Primary School,Primary,O,22,19,41,20,21,41,12,13,25,13,16,29,22,15,37,20,26,46,14,13,27,246
5434,Hawkesdale P12 College,Pri/Sec,O,8,3,11,4,5,9,4,4,8,10,7,17,4,6,10,6,4,10,16,10,26,91
293,Hawthorn West Primary School,Primary,O,36,40,76,45,35,80,25,38,63,36,30.6,66.6,32,33,65,36,26,62,25,38,63,475.6
5552,Hazel Glen College,Pri/Sec,O,105,118,223,118,101,219,99,92,191,74,74,148,78,81,159,81,102,183,72,82,154,1277
2382,Hazelwood North Primary School,Primary,O,5,6,11,10,13,23,12,7,19,11,10,21,8,8,16,9,9,18,8,2,10,118
849,Healesville Primary School,Primary,O,23,18,41,17,16,33,18,20,38,24,21,45,16,22,38,31,23,54,19,24,43,292
5345,Heany Park Primary School,Primary,O,23,22,45,19,24,43,24,26,50,31,26,57,33,29,62,37,34,71,19,32,51,379
300,Heathcote Primary School,Primary,O,8,5,13,8,6,14,6,8,14,8,6,14,1,6,7,8,4,12,6,6,12,86
4802,Heatherhill Primary School,Primary,O,12,22,34,12,18,30,15,18,33,14,8,22,19,10,29,15,12,27,11,15,26,201
4819,Heathmont East Primary School,Primary,O,51,50,101,48,48,96,40,37,77,34,42,76,50,34,84,36,48,84,32,31,63,581
294,Heidelberg Primary School,Primary,O,44,49,93,38,46,84,47,42,89,35,39,74,36,35,71,33,28.4,61.4,22,24,46,518.4
767,Hepburn Primary School,Primary,O,4,5,9,5,2,7,3,6,9,4,7,11,8,3,11,5,7,12,5,3,8,67
4681,Herne Hill Primary School,Primary,O,19,22,41,16,14,30,24,14,38,15,18,33,19,23,42,11,16,27,17,11,28,239
1004,Hesket Primary School,Primary,O,2,4,6,3,2,5,5,3,8,2,0,2,3,1,4,0,0,0,2,4,6,31
1108,Heyfield Primary School,Primary,O,10,9,19,14,15,29,17,14,31,12,18,30,12,16,28,12,11,23,11,13,24,184
6225,Heywood Consolidated School,Primary,O,18,13,31,16,8,24,14,10,24,9,6,15,12,13,25,8,9,17,6,19,25,161
304,Highton Primary School,Primary,O,22,21,43,26,33,59,25,18,43,20,23,43,21,19,40,29,31,60,27,19,46,334
4986,Highvale Primary School,Primary,O,20,18,38,25,21,46,20,26,46,22,22,44,20,12,32,23,21,44,13,22,35,285
5482,Hillsmeade Primary School,Primary,O,67,57,124,79,60,139,57,68,125,56,59.4,115.4,51,48,99,60,68,128,69,75,144,874.4
2541,Hoddles Creek Primary School,Primary,O,0,1,1,1,2,3,3,2,5,2,4,6,0,0,0,3,0,3,4,1,5,23
8904,Hopetoun P-12 College,Pri/Sec,O,2,1,3,0,0,0,4,2,6,2,2,4,5,3,8,2,3,5,6,2,8,34
5548,Horsham Primary School,Primary,O,34,27,61,33,24,57,31,35,66,34,25,59,31,38,69,36,30,66,34,43,77,455
4697,Horsham West and Haven Primary School,Primary,O,37,42,79,40,51,91,51,36,87,50,47,97,53,50,103,39,50,89,46,44,90,636
4176,Hughesdale Primary School,Primary,O,42,36,78,42,44,86,36,46,82,42,43,85,43,34,77,34,43,77,22,32,54,539
4716,Huntingdale Primary School,Primary,O,34,25.2,59.2,26,31,57,31,30,61,29,27,56,26,23,49,25,17,42,22,18,40,364.2
306,Huntly Primary School,Primary,O,20,25,45,17,14,31,18,19,37,18,11,29,13,11,24,19,17,36,26,14,40,242
3939,Hurstbridge Primary School,Primary,O,13,17,30,21,16,37,21,11,32,14,18,32,24,19,43,17,30,47,20.8,20,40.8,261.8
1052,Inglewood Primary School,Primary,O,6,0,6,3,4,7,3,0,3,1,3,4,2,3,5,4,2,6,0,1,1,32
4896,Invergordon Primary School,Primary,O,1,0,1,1,2,3,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,8
1147,Inverleigh Primary School,Primary,O,16,17,33,13,20,33,16,10,26,16,12,28,8,16,24,21,8,29,14,12,26,199
2776,Inverloch Primary School,Primary,O,23,34,57,26,27,53,28,31,59,29,36,65,30,31,61,25,28,53,21,22,43,391
882,Invermay Primary School,Primary,O,2,5,7,7,5,12,2,6,8,4,2,6,7,3,10,6,3,9,8,1,9,61
5152,Iramoo Primary School,Primary,O,58,56,114,59,71,130,53,55,108,61,65,126,68,55,123,44,43,87,57,41,98,786
3174,Irymple Primary School,Primary,O,23,23,46,18,22,40,24,25,49,18,21,39,19,26,45,27,28,55,32,19,51,325
3702,Irymple South Primary School,Primary,O,35,21,56,21,27,48,31,24,55,23,22,45,28,23,51,34,18,52,18,24,42,349
4386,Ivanhoe East Primary School,Primary,O,36,26,62,50,39,89,33,35,68,33,38,71,51,44,95,46,38,84,43,38,81,550
2436,Ivanhoe Primary School,Primary,O,52.2,41,93.2,39,47,86,45,47.2,92.2,47.4,36,83.4,34,42,76,53,48,101,37.4,37,74.4,606.2
5136,James Cook Primary School,Primary,O,27,21,48,21.6,16,37.6,11,18,29,15,16,31,11,26,37,22,20,42,16,18,34,258.6
814,Jamieson Primary School,Primary,O,2,3,5,2,0,2,0,1,1,1.4,2,3.4,0,1,1,0,3,3,1,0,1,16.4
5176,Jells Park Primary School,Primary,O,37,29,66,37.4,22,59.4,40,52,92,34,41,75,39,39,78,32.4,26,58.4,50,27,77,505.8
2988,Jeparit Primary School,Primary,O,2,2,4,1,1,2,4,2,6,2,4,6,2,1,3,0,1,1,1,2,3,25
1951,Jindivick Primary School,Primary,O,2,8,10,5,5,10,7,3,10,7,4,11,5,5,10,8,2,10,4,1,5,66
5561,John Henry Primary School,Primary,O,69,52,121,22,17,39,32,21,53,29,29,58,23,11,34,20,22,42,11,11,22,369
5121,Kalinda Primary School,Primary,O,43,38,81,42,52,94,34,36,70,37,37,74,35.4,28,63.4,36,40,76,34,33,67,525.4
3993,Kallista Primary School,Primary,O,4,10,14,14,13,27,16,12,28,19,9,28,7,15,22,14,13,27,13,9,22,168
5418,Kananook Primary School,Primary,O,12,10,22,9,12,21,7,11,18,11,15,26,13,13,26,11,14,25,13,16,29,167
981,Kangaroo Flat Primary School,Primary,O,16,18,34,23,15,38,22,12,34,18,20,38,22,20,42,23,22,45,25,28,53,284
2105,Kangaroo Ground Primary School,Primary,O,16,11,27,15,17,32,8,8,16,11,7,18,11,12,23,12,7,19,11,10,21,156
8842,Kaniva College,Pri/Sec,O,6,6,12,6,7,13,12,8,20,17,7,24,6,4,10,7,6,13,5,8,13,105
5053,Karingal Heights Primary School,Primary,O,14.1,6,20.1,9,7,16,7,6,13,4,8,12,8,7,15,3,9,12,6,3,9,97.1
4922,Karingal Primary School,Primary,O,21,22,43,19,22,41,24,16,40,21,20,41,24,20,44,23,14,37,16,18,34,280
5295,Karoo Primary School,Primary,O,31,35,66,38,40,78,48,42,90,41,30,71,38,45,83,37,44,81,40,46,86,555
2069,Katamatite Primary School,Primary,O,3,2,5,3,0,3,3,3,6,4,2,6,1,1,2,2,0,2,1,4,5,29
4401,Katandra West Primary School,Primary,O,7,5,12,5,3,8,1,8,9,7,6,13,6,8,14,6,10,16,4,7,11,83
