,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
174,ROOFTOP,"400 City Rd, Southbank VIC 3006, Australia",ChIJnV1MTf9n1moRTOdFni6JcNA,"400 City Rd, Southbank VIC 3006, Australia",-37.829386,144.9556897,1,3006,OK,street_address
175,ROOFTOP,"400 City Rd, Southbank VIC 3006, Australia",ChIJnV1MTf9n1moRTOdFni6JcNA,"400 City Rd, Southbank VIC 3006, Australia",-37.829386,144.9556897,1,3006,OK,street_address
176,ROOFTOP,"29/37 Ballantyne St, Southbank VIC 3006, Australia",EjIyOS8zNyBCYWxsYW50eW5lIFN0LCBTb3V0aGJhbmsgVklDIDMwMDYsIEF1c3RyYWxpYQ,"29-37 Ballantyne St, South Melbourne VIC 3006, Australia",-37.8290566,144.9568538,2,3006,OK,subpremise
177,ROOFTOP,"252 Gordon St, Footscray VIC 3011, Australia",ChIJj2_wwPFd1moRG-PRxSZtB90,"252 Gordon St, Footscray VIC 3011, Australia",-37.7975405,144.888159,1,3011,OK,street_address
178,ROOFTOP,"252 Gordon St, Footscray VIC 3011, Australia",ChIJj2_wwPFd1moRG-PRxSZtB90,"252 Gordon St, Footscray VIC 3011, Australia",-37.7975405,144.888159,1,3011,OK,street_address
179,ROOFTOP,"60 Paisley St, Footscray VIC 3011, Australia",ChIJ2x_3NY1d1moRmtdFOU4jrxk,"60 Paisley St, Footscray VIC 3011, Australia",-37.8002276,144.8952984,1,3011,OK,street_address
180,ROOFTOP,"302 Barkly St, Footscray VIC 3011, Australia",ChIJZXfQovJd1moRtM5KjuJGH8Y,"302 Barkly St, Footscray VIC 3011, Australia",-37.7988541,144.8939246,1,3011,OK,street_address
181,APPROXIMATE,"Yarraville VIC 3013, Australia",ChIJVV1gJVdn1moREDouRnhWBBw,"Yarraville VIC 3013, Australia",-37.819811,144.8813738,1,3013,OK,postal_code
182,ROOFTOP,"26 Mason St, Newport VIC 3015, Australia",ChIJy8BcSdZm1moRrHsWak4N_f0,"26 Mason St, Newport VIC 3015, Australia",-37.842082,144.880991,1,3015,OK,street_address
183,ROOFTOP,"43 Paxton St, South Kingsville VIC 3015, Australia",ChIJIfIeWdJg1moRPRCNAgr69-E,"43 Paxton St, South Kingsville VIC 3015, Australia",-37.8291524,144.8701566,1,3015,OK,premise
184,ROOFTOP,"43 Paxton St, South Kingsville VIC 3015, Australia",ChIJIfIeWdJg1moRPRCNAgr69-E,"43 Paxton St, South Kingsville VIC 3015, Australia",-37.8291524,144.8701566,1,3015,OK,premise
185,ROOFTOP,"43 Paxton St, South Kingsville VIC 3015, Australia",ChIJIfIeWdJg1moRPRCNAgr69-E,"43 Paxton St, South Kingsville VIC 3015, Australia",-37.8291524,144.8701566,1,3015,OK,premise
186,ROOFTOP,"1/100 Champion Rd, Newport VIC 3015, Australia",Ei4xLzEwMCBDaGFtcGlvbiBSZCwgTmV3cG9ydCBWSUMgMzAxNSwgQXVzdHJhbGlh,"1/100 Champion Rd, Newport VIC 3015, Australia",-37.8489414,144.8759324,1,3015,OK,subpremise
187,ROOFTOP,"119 Douglas Parade, Williamstown VIC 3016, Australia",ChIJ8XrixOdm1moRaKqXra5yRoY,"119 Douglas Parade, Williamstown VIC 3016, Australia",-37.854861,144.897094,1,3016,OK,street_address
188,ROOFTOP,"8 Electra St, Williamstown VIC 3016, Australia",ChIJK1Lroetm1moRXDJic2ic9II,"8 Electra St, Williamstown VIC 3016, Australia",-37.8629727,144.8991709,1,3016,OK,street_address
189,ROOFTOP,"87 Cecil St, Williamstown VIC 3016, Australia",ChIJA9c-He1m1moRpuFhHXBSrww,"87 Cecil St, Williamstown VIC 3016, Australia",-37.865315,144.9034802,1,3016,OK,street_address
190,ROOFTOP,"14 Sargood St, Altona VIC 3018, Australia",ChIJ-1-sTC1i1moRrVtEHVXne1A,"14 Sargood St, Altona VIC 3018, Australia",-37.8686146,144.8291259,1,3018,OK,street_address
191,ROOFTOP,"14 Sargood St, Altona VIC 3018, Australia",ChIJ-1-sTC1i1moRrVtEHVXne1A,"14 Sargood St, Altona VIC 3018, Australia",-37.8686146,144.8291259,1,3018,OK,street_address
