,accuracy,formatted_address,input_string,latitude,longitude,number_of_results,postcode,status
327,ROOFTOP,"14 Heversham Dr, Seaford VIC 3198, Australia","Gateway Family Church VIC,Australia",-38.111638,145.139995,1,3198,OK
328,ROOFTOP,"234 Elgar Rd, Box Hill South VIC 3128, Australia","Grace Christian Community Church VIC,Australia",-37.8354711,145.1121419,2,3128,OK
329,ROOFTOP,"51 Lusher Rd, Croydon VIC 3136, Australia","Hope Church VIC,Australia",-37.8037299,145.2786732,1,3136,OK
330,ROOFTOP,"26 High St, Frankston VIC 3199, Australia","Jubilee Church VIC,Australia",-38.1483308,145.1192576,1,3199,OK
331,ROOFTOP,"55 Halton Rd, Noble Park North VIC 3174, Australia","Miracle Christian Centre Church VIC,Australia",-37.954502,145.192201,1,3174,OK
332,ROOFTOP,"252 Frankston - Flinders Rd, Frankston VIC 3199, Australia","Peninsula City Church Church VIC,Australia",-38.1783982,145.1374198,1,3199,OK
333,ROOFTOP,"261 McKinnon Rd, McKinnon VIC 3204, Australia","Reformed Presbyterian Church VIC,Australia",-37.911831,145.044545,1,3204,OK
334,ROOFTOP,"210 Dorcas St, South Melbourne VIC 3205, Australia","St Lukes Anglican Church VIC,Australia",-37.832373,144.96106,1,3205,OK
335,ROOFTOP,"36 Radiata St, Frankston North VIC 3199, Australia","Frankston Presbyterian Church VIC,Australia",-38.1175694,145.1548681,1,3199,OK
336,ROOFTOP,"334 Fulton Ave, Hempstead, NY 11550, USA","Miracle Christian Centre Church VIC,Australia",40.7087559,-73.6223491,1,11550,OK
337,ROOFTOP,"46 Lillimur Rd, Ormond VIC 3149, Australia","Glen Eira Christian Community Church VIC,Australia",-37.900068,145.042318,1,3149,OK
338,ROOFTOP,"261 McKinnon Rd, McKinnon VIC 3204, Australia","McKinnon Reformed Presbyterian Church VIC,Australia",-37.911831,145.044545,1,3204,OK
339,ROOFTOP,"29-37 Ballantyne St, South Melbourne VIC 3006, Australia","Bethany International Church VIC,Australia",-37.829305,144.957275,1,3006,OK
340,ROOFTOP,"115 Kerferd Rd, Albert Park VIC 3026, Australia","Albert Park/Port Melbourne Baptist Church VIC,Australia",-37.8462299,144.9551127,1,3026,OK
341,ROOFTOP,"193 Hotham St, East Melbourne VIC 3002, Australia","Holy Trinity Anglican Church VIC,Australia",-37.814255,144.983619,1,3002,OK
342,ROOFTOP,"76-84 Flinders Ave, Lara VIC 3212, Australia","Lifeway Christian Church VIC,Australia",-38.017655,144.406099,1,3212,OK
343,ROOFTOP,"12 Tarkin Ct, Bell Park VIC 3215, Australia","North Geelong Presbyterian Church VIC,Australia",-38.0981859,144.3428723,1,3215,OK
344,ROOFTOP,"1 Douro St, North Geelong VIC 3215, Australia","Pivot City Church Church VIC,Australia",-38.1219325,144.3473597,1,3215,OK
345,GEOMETRIC_CENTER,"4-32 Province Boulevard, Highton VIC 3216, Australia","Barrabool Hills Baptist Church VIC,Australia",-38.1607352,144.3071841,1,3216,OK
346,ROOFTOP,"94-96 Pioneer Rd, Grovedale VIC 3216, Australia","Grovedale Baptist Church VIC,Australia",-38.2015593,144.3311372,1,3216,OK
347,ROOFTOP,"86 Clendon Rd, Toorak VIC 3142, Australia","St John's Anglican Church VIC,Australia",-37.841997,145.0145036,1,3142,OK
348,ROOFTOP,"48 Waurnvale Dr, Belmont VIC 3216, Australia","Waurn Ponds Community Church VIC,Australia",-38.194621,144.322749,1,3216,OK
349,ROOFTOP,"231 Pakington St, Geelong West VIC 3218, Australia","Geelong Christian Reformed Church VIC,Australia",-38.145868,144.3470198,2,3218,OK
350,GEOMETRIC_CENTER,"Crn Volum St and Shannon Ave Manifold Heights, Manifold Heights VIC 3218, Australia","Manifold Heights Baptist Church VIC,Australia",-38.139042,144.33615,1,3218,OK
351,ROOFTOP,"277 Church St, Hamlyn Heights VIC 3218, Australia","St Alban??s Anglican Church VIC,Australia",-38.1293539,144.3250392,1,3218,OK
352,ROOFTOP,"230 McKillop St, East Geelong VIC 3219, Australia","St Matthew's Anglican Church VIC,Australia",-38.1581653,144.3731156,1,3219,OK
353,GEOMETRIC_CENTER,"Ground Floor 262 Queen Street, Melbourne VIC 3000, Australia","City on a Hill Church VIC,Australia",-37.812421,144.959797,1,3000,OK
354,ROOFTOP,"261 McKinnon Rd, McKinnon VIC 3204, Australia","Reformed Presbyterian Church VIC,Australia",-37.911831,145.044545,1,3204,OK
356,ROOFTOP,"45 Central Rd, Clifton Springs VIC 3222, Australia","Clifton Springs Baptist Church VIC,Australia",-38.1629136,144.562207,1,3222,OK
357,ROOFTOP,"276 Jetty Rd, Curlewis VIC 3222, Australia","Drysdale Community Church Church VIC,Australia",-38.1793985,144.5499409,1,3222,OK
358,GEOMETRIC_CENTER,"Portarlington Rd, Portarlington VIC 3223, Australia","Church By The Bay Church VIC,Australia",-38.1247223,144.6304428,1,3223,OK
359,ROOFTOP,"TIA Hall, 12 Price, St Torquay VIC 3228, Australia","Bells Beach Christian Church VIC,Australia",-38.335281,144.32055,1,3228,OK
360,ROOFTOP,"25 Grossmans Rd, Torquay VIC 3228, Australia","Torquay Christian Fellowship Church VIC,Australia",-38.323112,144.315371,1,3228,OK
361,ROOFTOP,"35 Boston Rd, Torquay VIC 3228, Australia","Torquay Salvos Church VIC,Australia",-38.3325496,144.3189218,1,3228,OK
362,GEOMETRIC_CENTER,"Uniting Church Building,, Murch Cres, Anglesea VIC 3230, Australia","Anglesea Baptist Church VIC,Australia",-38.405655,144.186997,1,3230,OK
363,ROOFTOP,"3822 Cobden-Warrnambool Rd, Naringal VIC 3277, Australia","Naringal Baptist Church VIC,Australia",-38.3961266,142.6941358,1,3277,OK
364,ROOFTOP,"2645 W. Northbend, Cincinnati, OH 45239, USA","Covenant Truth Church VIC,Australia",39.1897871,-84.5720912,1,45239,OK
365,ROOFTOP,"200 Timor St, Warrnambool VIC 3280, Australia","Extreme Life Church VIC,Australia",-38.384299,142.481097,1,3280,OK
366,ROOFTOP,"86 Clendon Rd, Toorak VIC 3142, Australia","St John'sAnglican Church VIC,Australia",-37.841997,145.0145036,1,3142,OK
367,ROOFTOP,"25/33 Learmonth St, Portland VIC 3305, Australia","Portland Baptist Church VIC,Australia",-38.3275823,141.5990323,2,3305,OK
