formatted_address,input_string,latitude,longitude,postcode,name,Type 
"20 City Rd, Southbank VIC 3006, Australia","St Johns Southgate Lutheran Church VIC,Australia",-37.8206506,144.9669925,3006,St Johns Southgate Lutheran Church,Christian
"400 City Rd, Southbank VIC 3006, Australia","Planetshakers Church Melbourne City Campus Church VIC,Australia",-37.8292387,144.9557145,3006,Planetshakers Church Melbourne City Campus Church,Christian
"400 City Rd, Southbank VIC 3006, Australia","Planetshakers City Church VIC,Australia",-37.8292387,144.9557145,3006,Planetshakers City Church,Christian
"29-37 Ballantyne St, South Melbourne VIC 3006, Australia","Bethany International Church VIC,Australia",-37.829305,144.957275,3006,Bethany International Church,Christian
"252 Gordon St, Footscray VIC 3011, Australia","Footscray Church of Christ VIC,Australia",-37.7974357,144.888167,3011,Footscray Church of Christ,Christian
"252 Gordon St, Footscray VIC 3011, Australia","Citigate Church VIC,Australia",-37.797465,144.8880441,3011,Citigate Church,Christian
"60 Paisley St, Footscray VIC 3011, Australia","Footscray Baptist Church VIC,Australia",-37.8002276,144.8952984,3011,Footscray Baptist Church,Christian
"302 Barkly St, Footscray VIC 3011, Australia","St Columba's Uniting Church VIC,Australia",-37.7988541,144.8939246,3011,St Columba's Uniting Church,Christian
"Yarraville VIC 3013, Australia","Westgate Baptist Church VIC,Australia",-37.8161884,144.8805003,3013,Westgate Baptist Church,Christian
"26 Mason St, Newport VIC 3015, Australia","Newport Baptist Church VIC,Australia",-37.8420547,144.8810005,3015,Newport Baptist Church,Christian
"43 Paxton St, South Kingsville VIC 3015, Australia","C3 Church VIC,Australia",-37.829152,144.870197,3015,C3 Church,Christian
"43 Paxton St, South Kingsville VIC 3015, Australia","C3 Church VIC,Australia",-37.829152,144.870197,3015,C3 Church,Christian
"43 Paxton St, South Kingsville VIC 3015, Australia","C3 Church VIC,Australia",-37.829152,144.870197,3015,C3 Church,Christian
"1/100 Champion Rd, Newport VIC 3015, Australia","Langwarrin Vineyard Church VIC,Australia",-37.849451,144.875844,3015,Langwarrin Vineyard Church,Christian
"119 Douglas Parade, Williamstown VIC 3016, Australia","Williamstown Church of Christ VIC,Australia",-37.854861,144.897094,3016,Williamstown Church of Christ,Christian
"8 Electra St, Williamstown VIC 3016, Australia","Williamstown Gospel Mission Church VIC,Australia",-37.8632636,144.8989724,3016,Williamstown Gospel Mission Church,Christian
"87 Cecil St, Williamstown VIC 3016, Australia","Willlamstown Presbyterian Church VIC,Australia",-37.865315,144.9034802,3016,Willlamstown Presbyterian Church,Christian
"14 Sargood St, Altona VIC 3018, Australia","Altona Baptist Church VIC,Australia",-37.8686146,144.8291259,3018,Altona Baptist Church,Christian
"14 Sargood St, Altona VIC 3018, Australia","Altona Baptist Church VIC,Australia",-37.8686146,144.8291259,3018,Altona Baptist Church,Christian
"12A Sun Cres, Sunshine VIC 3020, Australia","Cloud Christian Church Church VIC,Australia",-37.7875337,144.8307099,3020,Cloud Christian Church Church,Christian
"8 Watt St, Sunshine VIC 3020, Australia","Hope of Life Community Church Church VIC,Australia",-37.789061,144.829806,3020,Hope of Life Community Church Church,Christian
"41 Lance Rd, Sunshine North VIC 3020, Australia","Enjoy Church VIC,Australia",-37.7613606,144.8430302,3020,Enjoy Church,Christian
"120 Anderson Rd, Sunshine VIC 3020, Australia","Sunshine Presbyterian Church VIC,Australia",-37.7840854,144.8278072,3020,Sunshine Presbyterian Church,Christian
"95 Alfrieda St, St Albans VIC 3021, Australia","GROW Church VIC,Australia",-37.73798,144.801553,3021,GROW Church,Christian
"3 W Esplanade, St Albans VIC 3021, Australia","(Croatian) Seventh-day Adventist Church VIC,Australia",-37.742811,144.797679,3021,(Croatian) Seventh-day Adventist Church,Christian
"18 Alexina St, St Albans VIC 3021, Australia","Parish of St Alban the Martyr Church VIC,Australia",-37.739348,144.798288,3021,Parish of St Alban the Martyr Church,Christian
"28/39 Eucumbene Dr, Ravenhall VIC 3023, Australia","Faith Christian Community Church VIC,Australia",-37.7604345,144.7445643,3023,Faith Christian Community Church,Christian
