formatted_address,input_string,latitude,longitude,postcode,type,Culture
"34 High St, Yackandandah VIC 3749, Australia",Indigo Shire Library ,-36.3131959,146.8371729,3749,Library ,Itanlian
"63-65 Elgin St, Morwell VIC 3840, Australia",Latrobe City Library ,-38.239745,146.398892,3840,Library ,Itanlian
"539 Barkly St, West Footscray VIC 3012, Australia",Maribyrnong Library Service ,-37.797639,144.878139,3012,Library ,Itanlian
"328 Swanston St, Melbourne VIC 3000, Australia",Melbourne Library Service ,-37.8098087,144.9651897,3000,Library ,Itanlian
"31 McKenzie St, Melton VIC 3337, Australia",Melton City Library ,-37.6848506,144.581948,3337,Library ,Itanlian
"The Alfred Deakin Centre, 180 - 190 Deakin Ave, Mildura VIC 3500, Australia",Mildura Rural City Council Library Service ,-34.1907797,142.156646,3500,Library ,Itanlian
"113 High St, Broadford VIC 3658, Australia",Mitchell Shire Library Service ,-37.2027742,145.0487499,3658,Library ,Itanlian
"148 Drummond St, Oakleigh VIC 3166, Australia",Monash Public Library Service ,-37.8972,145.09046,3166,Library ,Itanlian
"762 Mt Alexander Rd, Moonee Ponds VIC 3039, Australia",Moonee Valley Library ,-37.7649143,144.9241479,3039,Library ,Itanlian
"737 Pascoe Vale Rd, Glenroy VIC 3046, Australia",Moreland City Library ,-37.7067078,144.9159724,3046,Library ,Itanlian
"Vancouver St, Mornington VIC 3931, Australia",Mornington Peninsula Library Service ,-38.2174986,145.0362602,3931,Library ,Itanlian
"49 Grant St, Alexandra VIC 3714, Australia",Murrindindi Library Service ,-37.1907056,145.7092901,3714,Library ,Itanlian
"319 Montague St, Albert Park VIC 3206, Australia",Port Phillip Library Service ,-37.8413817,144.956445,3206,Library ,Itanlian
"1 Winter St, Malvern VIC 3144, Australia",Stonnington Library & Information Service ,-37.859755,145.029415,3144,Library ,Itanlian
"53-67 Campbell St, Swan Hill VIC 3585, Australia",Swan Hill Regional Library Service ,-35.335562,143.558997,3585,Library ,Itanlian
"Corryong VIC 3707, Australia",Towong Shire Library ,-36.1960217,147.9029492,3707,Library ,Itanlian
"Wellington Shire Council, 70 Foster St, Sale VIC 3850, Australia",Wellington Shire Library ,-38.1118103,147.0639369,3850,Library ,Itanlian
"Regional Support Centre Unit, 2/65 Victoria St, Warragul VIC 3820, Australia",West Gippsland Regional Library Corporation ,-38.160077,145.929458,3820,Library ,Itanlian
